SampleID	FamilyID	Population	Gender
HG02165	HG02165	CDX	female
HG02166	HG02166	CDX	female
HG02178	HG02178	CDX	female
HG02179	HG02179	CDX	female
HG02180	HG02180	CDX	female
HG02181	HG02181	CDX	female
HG02182	HG02182	CDX	female
HG02184	HG02184	CDX	female
HG02185	HG02185	CDX	female
HG02186	HG02186	CDX	female
HG02187	HG02187	CDX	female
HG02188	HG02188	CDX	female
HG02190	HG02190	CDX	female
HG02215	HG02215	GBR	female
HG02219	IBS055	IBS	male
HG02220	IBS056	IBS	female
HG02221	IBS056	IBS	male
HG02223	IBS057	IBS	female
HG02224	IBS057	IBS	male
HG02230	IBS059	IBS	female
HG02231	IBS059	IBS	male
HG02232	IBS060	IBS	female
HG02233	IBS060	IBS	male
HG02235	IBS061	IBS	female
HG02236	IBS061	IBS	male
HG02238	IBS062	IBS	male
HG02239	IBS062	IBS	female
HG02250	HG02250	CDX	male
HG02252	PEL41	PEL	female
HG02253	PEL41	PEL	male
HG02255	BB21	ACB	male
HG02256	BB21	ACB	female
HG02259	PEL42	PEL	male
HG02260	PEL42	PEL	female
HG02262	PEL43	PEL	male
HG02265	PEL44	PEL	male
HG02266	PEL44	PEL	female
HG02271	PEL46	PEL	male
HG02272	PEL46	PEL	female
HG02274	PEL47	PEL	male
HG02275	PEL47	PEL	female
HG02277	PEL48	PEL	male
HG02278	PEL48	PEL	female
HG02281	BB24	ACB	male
HG02282	BB24	ACB	female
HG02283	BB25	ACB	male
HG02284	BB26	ACB	male
HG02285	PEL49	PEL	male
HG02286	PEL49	PEL	female
HG02291	PEL51	PEL	male
HG02292	PEL51	PEL	female
HG02298	PEL52	PEL	female
HG02299	PEL52	PEL	male
HG02301	PEL53	PEL	female
HG02304	PEL54	PEL	male
HG02307	BB23	ACB	male
HG02308	BB23	ACB	female
HG02309	BB25	ACB	female
HG02312	PEL55	PEL	female
HG02314	BB22	ACB	male
HG02315	BB22	ACB	female
HG02317	BB27	ACB	male
HG02318	BB27	ACB	female
HG02322	BB28	ACB	female
HG02323	BB29	ACB	male
HG02325	BB30	ACB	female
HG02330	BB33	ACB	male
HG02332	BB16	ACB	male
HG02334	BB32	ACB	male
HG02337	BB31	ACB	female
HG02339	BB34	ACB	female
HG02343	BB35	ACB	male
HG02345	PEL56	PEL	female
HG02348	PEL57	PEL	female
HG02351	HG02351	CDX	male
HG02353	HG02353	CDX	male
HG02355	HG02355	CDX	male
HG02356	HG02356	CDX	male
HG02360	HG02360	CDX	male
HG02364	HG02364	CDX	male
HG02367	HG02367	CDX	male
HG02371	CDX2	CDX	male
HG02373	HG02373	CDX	male
HG02374	HG02374	CDX	male
HG02375	HG02375	CDX	male
HG02379	HG02379	CDX	male
HG02380	HG02380	CDX	male
HG02382	HG02382	CDX	male
HG02383	HG02383	CDX	male
HG02384	HG02384	CDX	male
HG02385	HG02385	CDX	male
HG02386	HG02386	CDX	male
HG02389	HG02389	CDX	male
HG02390	HG02390	CDX	male
HG02391	HG02391	CDX	male
HG02392	HG02392	CDX	male
HG02394	HG02394	CDX	male
HG02395	HG02395	CDX	male
HG02396	HG02396	CDX	male
HG02397	HG02397	CDX	male
HG02398	HG02398	CDX	male
HG02399	HG02399	CDX	male
HG02401	HG02401	CDX	male
HG02402	HG02402	CDX	male
HG02406	HG02406	CDX	male
HG02407	HG02407	CDX	male
HG02408	HG02408	CDX	male
HG02409	HG02409	CDX	male
HG02410	HG02410	CDX	male
HG02419	BB36	ACB	female
HG02420	BB37	ACB	male
HG02425	PEL59	PEL	female
HG02427	BB37	ACB	female
HG02429	BB39	ACB	male
HG02433	BB41	ACB	male
HG02439	BB42	ACB	male
HG02442	BB43	ACB	male
HG02445	BB44	ACB	male
HG02449	BB46	ACB	male
HG02450	BB46	ACB	female
HG02455	BB48	ACB	male
HG02461	GB15	GWD	male
HG02462	GB15	GWD	female
HG02464	GB16	GWD	male
HG02465	GB16	GWD	female
HG02470	BB49	ACB	male
HG02471	BB49	ACB	female
HG02476	BB51	ACB	female
HG02477	BB52	ACB	female
HG02479	BB53	ACB	female
HG02481	BB54	ACB	male
HG02484	BB55	ACB	male
HG02485	BB55	ACB	female
HG02489	BB45	ACB	male
HG02490	PK06	PJL	male
HG02491	PK06	PJL	female
HG02493	PK07	PJL	male
HG02494	PK07	PJL	female
HG02496	BB57	ACB	male
HG02497	BB57	ACB	female
HG02501	BB58	ACB	male
HG02502	BB58	ACB	female
HG02505	BB59	ACB	female
HG02508	BB60	ACB	female
HG02511	BB56	ACB	female
HG02512	VN087	KHV	male
HG02513	VN087	KHV	female
HG02521	VN090	KHV	male
HG02522	VN090	KHV	female
HG02536	BB61	ACB	male
HG02537	BB61	ACB	female
HG02541	BB63	ACB	male
HG02545	BB64	ACB	male
HG02546	BB64	ACB	female
HG02549	BB65	ACB	female
HG02554	BB67	ACB	male
HG02555	BB67	ACB	female
HG02557	BB68	ACB	male
HG02558	BB68	ACB	female
HG02561	GB18	GWD	male
HG02562	GB18	GWD	female
HG02568	GB20	GWD	female
HG02570	GB21	GWD	male
HG02571	GB21	GWD	female
HG02573	GB22	GWD	male
HG02574	GB22	GWD	female
HG02577	BB69	ACB	female
HG02580	BB70	ACB	female
HG02582	GB23	GWD	male
HG02583	GB23	GWD	female
HG02585	GB24	GWD	male
HG02586	GB24	GWD	female
HG02588	GB25	GWD	male
HG02589	GB25	GWD	female
HG02594	GB27	GWD	male
HG02595	GB27	GWD	female
HG02597	PK08	PJL	male
HG02600	PK09	PJL	male
HG02601	PK09	PJL	female
HG02603	PK10	PJL	male
HG02604	PK10	PJL	female
HG02610	GB28	GWD	male
HG02611	GB28	GWD	female
HG02613	GB29	GWD	male
HG02614	GB29	GWD	female
HG02620	GB31	GWD	male
HG02621	GB31	GWD	female
HG02623	GB32	GWD	male
HG02624	GB32	GWD	female
HG02628	GB33	GWD	male
HG02629	GB33	GWD	female
HG02634	GB35	GWD	male
HG02635	GB35	GWD	female
HG02642	GB37	GWD	male
HG02643	GB37	GWD	female
HG02645	GB38	GWD	male
HG02646	GB38	GWD	female
HG02648	PK11	PJL	male
HG02649	PK11	PJL	female
HG02651	PK12	PJL	male
HG02652	PK12	PJL	female
HG02654	PK13	PJL	male
HG02655	PK13	PJL	female
HG02657	PK14	PJL	male
HG02658	PK14	PJL	female
HG02660	PK15	PJL	male
HG02661	PK15	PJL	female
HG02666	GB40	GWD	male
HG02667	GB40	GWD	female
HG02675	GB43	GWD	male
HG02676	GB43	GWD	female
HG02678	GB44	GWD	male
HG02679	GB44	GWD	female
HG02681	PK16	PJL	male
HG02682	PK16	PJL	female
HG02684	PK17	PJL	male
HG02685	PK17	PJL	female
HG02687	PK18	PJL	male
HG02688	PK18	PJL	female
HG02690	PK19	PJL	male
HG02691	PK19	PJL	female
HG02694	PK20	PJL	female
HG02696	PK21	PJL	male
HG02697	PK21	PJL	female
HG02699	PK22	PJL	male
HG02700	PK22	PJL	female
HG02702	GB45	GWD	male
HG02703	GB45	GWD	female
HG02715	GB50	GWD	male
HG02716	GB50	GWD	female
HG02721	GB52	GWD	male
HG02722	GB52	GWD	female
HG02724	PK23	PJL	male
HG02725	PK23	PJL	female
HG02727	PK24	PJL	male
HG02728	PK24	PJL	female
HG02731	PK25	PJL	female
HG02733	PK26	PJL	male
HG02734	PK26	PJL	female
HG02736	PK27	PJL	male
HG02737	PK27	PJL	female
HG02756	GB53	GWD	male
HG02757	GB53	GWD	female
HG02759	GB54	GWD	male
HG02760	GB54	GWD	female
HG02763	GB55	GWD	female
HG02768	GB57	GWD	male
HG02769	GB57	GWD	female
HG02771	GB58	GWD	male
HG02772	GB58	GWD	female
HG02774	PK28	PJL	male
HG02775	PK28	PJL	female
HG02778	PK29	PJL	female
HG02780	PK30	PJL	male
HG02783	PK31	PJL	male
HG02784	PK31	PJL	female
HG02786	PK32	PJL	male
HG02787	PK32	PJL	female
HG02789	PK33	PJL	male
HG02790	PK33	PJL	female
HG02792	PK34	PJL	male
HG02793	PK34	PJL	female
HG02798	GB60	GWD	male
HG02799	GB60	GWD	female
HG02804	GB62	GWD	male
HG02805	GB62	GWD	female
HG02807	GB63	GWD	male
HG02808	GB63	GWD	female
HG02810	GB64	GWD	male
HG02811	GB64	GWD	female
HG02813	GB65	GWD	male
HG02814	GB65	GWD	female
HG02816	GB66	GWD	male
HG02817	GB66	GWD	female
HG02819	GB67	GWD	male
HG02820	GB67	GWD	female
HG02836	GB73	GWD	male
HG02837	GB73	GWD	female
HG02839	GB74	GWD	male
HG02840	GB74	GWD	female
HG02851	GB78	GWD	male
HG02852	GB78	GWD	female
HG02854	GB79	GWD	male
HG02855	GB79	GWD	female
HG02860	GB81	GWD	male
HG02861	GB81	GWD	female
HG02870	GB84	GWD	female
HG02878	GB87	GWD	male
HG02879	GB87	GWD	female
HG02881	GB88	GWD	male
HG02882	GB88	GWD	female
HG02884	GB89	GWD	male
HG02885	GB89	GWD	female
HG02887	GB90	GWD	male
HG02888	GB90	GWD	female
HG02890	GB91	GWD	male
HG02891	GB91	GWD	female
HG02895	GB93	GWD	male
HG02896	GB93	GWD	female
HG02922	NG06	ESN	female
HG02923	NG06	ESN	male
HG02938	NG11	ESN	male
HG02941	NG12	ESN	male
HG02943	NG13	ESN	female
HG02944	NG13	ESN	male
HG02946	NG14	ESN	female
HG02947	NG14	ESN	male
HG02952	NG16	ESN	female
HG02953	NG16	ESN	male
HG02968	NG21	ESN	male
HG02970	NG22	ESN	female
HG02971	NG22	ESN	male
HG02973	NG23	ESN	male
HG02974	NG23	ESN	female
HG02976	NG24	ESN	female
HG02977	NG24	ESN	male
HG02979	NG25	ESN	female
HG02981	NG25	ESN	male
HG02982	GB97	GWD	male
HG02983	GB97	GWD	female
HG03006	BD01	BEB	male
HG03007	BD01	BEB	female
HG03009	HG03009	BEB	male
HG03012	BD3	BEB	male
HG03015	PK35	PJL	male
HG03016	PK35	PJL	female
HG03018	PK36	PJL	male
HG03019	PK36	PJL	female
HG03021	PK37	PJL	male
HG03022	HG03022	PJL	female
HG03024	GB105	GWD	male
HG03025	GB105	GWD	female
HG03027	GB106	GWD	male
HG03028	GB106	GWD	female
HG03039	GB110	GWD	male
HG03040	GB110	GWD	female
HG03045	GB112	GWD	male
HG03046	GB112	GWD	female
HG03048	GB113	GWD	male
HG03049	GB113	GWD	female
HG03052	SL01	MSL	female
HG03054	SL02	MSL	male
HG03055	SL02	MSL	female
HG03057	HG03057	MSL	male
HG03058	SL03	MSL	female
HG03060	HG03060	MSL	male
HG03061	SL04	MSL	female
HG03063	SL05	MSL	male
HG03064	SL05	MSL	female
HG03066	SL06	MSL	male
HG03069	SL07	MSL	male
HG03072	SL08	MSL	male
HG03073	SL08	MSL	female
HG03074	HG03074	MSL	male
HG03077	HG03077	MSL	male
HG03078	HG03078	MSL	male
HG03079	SL10	MSL	female
HG03081	SL11	MSL	male
HG03082	SL11	MSL	female
HG03084	HG03084	MSL	male
HG03085	HG03085	MSL	female
HG03086	HG03086	MSL	female
HG03088	SL13	MSL	female
HG03091	SL14	MSL	female
HG03095	SL15	MSL	female
HG03096	SL16	MSL	male
HG03097	SL16	MSL	female
HG03099	NG26	ESN	female
HG03100	NG26	ESN	male
HG03103	NG27	ESN	male
HG03105	NG28	ESN	female
HG03108	NG29	ESN	female
HG03109	NG29	ESN	male
HG03111	NG30	ESN	female
HG03112	NG30	ESN	male
HG03114	NG31	ESN	female
HG03115	NG31	ESN	male
HG03117	NG32	ESN	female
HG03118	NG32	ESN	male
HG03120	NG33	ESN	male
HG03121	NG33	ESN	female
HG03123	NG34	ESN	female
HG03124	NG34	ESN	male
HG03126	NG35	ESN	female
HG03127	NG35	ESN	male
HG03129	NG36	ESN	female
HG03130	NG36	ESN	male
HG03132	NG37	ESN	female
HG03133	NG37	ESN	male
HG03135	NG38	ESN	female
HG03136	NG38	ESN	male
HG03139	NG39	ESN	male
HG03157	NG45	ESN	male
HG03159	NG46	ESN	female
HG03160	NG46	ESN	male
HG03162	NG47	ESN	female
HG03163	NG47	ESN	male
HG03166	NG48	ESN	male
HG03168	NG49	ESN	female
HG03169	NG49	ESN	male
HG03172	NG50	ESN	male
HG03175	NG51	ESN	male
HG03189	NG56	ESN	female
HG03190	NG56	ESN	male
HG03193	NG57	ESN	male
HG03195	NG58	ESN	female
HG03196	NG58	ESN	male
HG03198	NG59	ESN	female
HG03199	NG59	ESN	male
HG03202	NG60	ESN	male
HG03209	SL17	MSL	male
HG03212	SL18	MSL	female
HG03224	SL22	MSL	male
HG03225	SL23	MSL	male
HG03228	PK38	PJL	male
HG03229	PK38	PJL	female
HG03234	PK40	PJL	male
HG03235	PK40	PJL	female
HG03237	PK41	PJL	male
HG03238	PK41	PJL	female
HG03240	GB114	GWD	male
HG03241	GB114	GWD	female
HG03246	GB116	GWD	male
HG03247	GB116	GWD	female
HG03258	GB120	GWD	male
HG03259	GB120	GWD	female
HG03265	NG63	ESN	male
HG03267	NG64	ESN	female
HG03268	NG64	ESN	male
HG03270	NG65	ESN	female
HG03271	NG65	ESN	male
HG03279	NG68	ESN	female
HG03280	NG68	ESN	male
HG03291	NG72	ESN	female
HG03294	NG73	ESN	female
HG03295	NG73	ESN	male
HG03297	NG74	ESN	female
HG03298	NG74	ESN	male
HG03300	NG75	ESN	female
HG03301	NG75	ESN	male
HG03303	NG76	ESN	female
HG03304	NG76	ESN	male
HG03311	NG78	ESN	male
HG03313	NG79	ESN	male
HG03342	NG89	ESN	female
HG03343	NG89	ESN	male
HG03351	NG92	ESN	female
HG03352	NG92	ESN	male
HG03354	NG93	ESN	female
HG03363	NG96	ESN	female
HG03366	NG97	ESN	female
HG03367	NG97	ESN	male
HG03369	NG98	ESN	female
HG03370	NG98	ESN	male
HG03372	NG99	ESN	female
HG03376	SL24	MSL	male
HG03378	HG03378	MSL	female
HG03380	SL25	MSL	female
HG03382	SL26	MSL	male
HG03385	SL27	MSL	male
HG03388	SL28	MSL	male
HG03391	SL29	MSL	male
HG03394	SL30	MSL	male
HG03397	HG03397	MSL	male
HG03401	SL32	MSL	female
HG03410	SL35	MSL	female
HG03419	SL38	MSL	female
HG03428	SL42	MSL	female
HG03432	HG03432	MSL	male
HG03433	HG03433	MSL	male
HG03436	HG03436	MSL	male
HG03437	HG03437	MSL	female
HG03439	SL46	MSL	male
HG03442	HG03442	MSL	male
HG03445	HG03445	MSL	male
HG03446	HG03446	MSL	female
HG03449	SL49	MSL	female
HG03451	SL50	MSL	male
HG03452	SL50	MSL	female
HG03455	SL51	MSL	female
HG03457	HG03457	MSL	male
HG03458	SL52	MSL	female
HG03460	HG03460	MSL	male
HG03461	HG03461	MSL	female
HG03464	SL54	MSL	female
HG03469	SL56i	MSL	male
HG03470	SL56	MSL	female
HG03472	HG03472	MSL	male
HG03473	SL57	MSL	female
HG03476	SL58	MSL	female
HG03478	SL59	MSL	male
HG03479	SL59	MSL	female
HG03484	SL61	MSL	male
HG03485	SL61	MSL	female
HG03488	PK42	PJL	female
HG03490	PK43	PJL	male
HG03491	PK43	PJL	female
HG03499	NG102	ESN	female
HG03511	NG106	ESN	female
HG03514	NG107	ESN	female
HG03515	NG107	ESN	male
HG03517	NG108	ESN	female
HG03518	NG108	ESN	male
HG03520	NG109	ESN	female
HG03521	NG109	ESN	male
HG03538	GB125	GWD	male
HG03539	GB125	GWD	female
HG03547	HG03547	MSL	male
HG03548	HG03548	MSL	female
HG03556	HG03556	MSL	male
HG03557	HG03557	MSL	female
HG03558	HG03558	MSL	female
HG03559	SL66	MSL	male
HG03563	SL67	MSL	female
HG03565	HG03565	MSL	male
HG03567	HG03567	MSL	female
HG03571	SL70	MSL	male
HG03572	SL70	MSL	female
HG03575	SL71	MSL	female
HG03577	SL72	MSL	male
HG03578	SL72	MSL	female
HG03583	SL73	MSL	female
HG03585	BD4	BEB	male
HG03589	BD05	BEB	female
HG03593	BD6	BEB	male
HG03594	BD7	BEB	male
HG03595	BD7	BEB	female
HG03598	BD8	BEB	female
HG03600	BD09	BEB	male
HG03603	BD10	BEB	male
HG03604	BD10	BEB	female
HG03607	BD11	BEB	female
HG03611	BD12	BEB	female
HG03615	BD14	BEB	male
HG03616	BD14	BEB	female
HG03619	PK44	PJL	female
HG03624	PK46	PJL	male
HG03625	PK46	PJL	female
HG03629	PK47	PJL	male
HG03631	PK48	PJL	female
HG03634	PK49	PJL	female
HG03636	PK50	PJL	male
HG03640	PK51	PJL	female
HG03642	ST006	STU	female
HG03643	ST004	STU	female
HG03644	ST004	STU	male
HG03645	ST002	STU	female
HG03646	ST001	STU	male
HG03649	PK52	PJL	male
HG03652	PK53	PJL	male
HG03653	PK53	PJL	female
HG03660	PK55	PJL	male
HG03663	PK56	PJL	male
HG03667	PK58	PJL	male
HG03668	PK58	PJL	female
HG03672	ST008	STU	male
HG03673	ST010	STU	female
HG03679	ST006	STU	male
HG03680	ST009	STU	male
HG03681	ST011	STU	male
HG03684	ST012	STU	female
HG03685	ST013	STU	male
HG03686	ST014	STU	male
HG03687	ST015	STU	male
HG03689	ST017	STU	female
HG03690	ST018	STU	female
HG03691	ST019	STU	male
HG03692	ST020	STU	female
HG03693	ST021	STU	male
HG03694	ST022	STU	male
HG03695	ST023	STU	male
HG03696	ST024	STU	male
HG03697	ST025	STU	male
HG03698	ST026	STU	female
HG03702	PK60	PJL	male
HG03703	PK60	PJL	female
HG03705	PK61	PJL	male
HG03706	PK61	PJL	female
HG03708	PK62	PJL	male
HG03709	PK62	PJL	female
HG03711	ST027	STU	male
HG03713	IT001	ITU	male
HG03714	IT009	ITU	female
HG03716	IT009	ITU	male
HG03717	IT010	ITU	female
HG03718	IT010	ITU	male
HG03720	IT052	ITU	male
HG03722	IT002	ITU	female
HG03727	IT003	ITU	male
HG03729	IT013	ITU	male
HG03730	IT011	ITU	female
HG03731	IT013	ITU	female
HG03733	ST041	STU	female
HG03736	ST043	STU	female
HG03738	ST044	STU	male
HG03740	ST038	STU	male
HG03741	ST038	STU	female
HG03742	IT015	ITU	male
HG03743	ST046	STU	male
HG03744	ST047	STU	male
HG03745	ST049	STU	male
HG03746	ST050	STU	male
HG03750	ST051	STU	male
HG03752	ST053	STU	female
HG03753	ST054	STU	male
HG03754	ST051	STU	female
HG03755	ST052	STU	male
HG03756	ST052	STU	female
HG03757	ST046	STU	female
HG03760	ST058	STU	female
HG03762	PK63	PJL	female
HG03765	PK64	PJL	female
HG03767	PK65	PJL	male
HG03770	IT016	ITU	female
HG03771	IT016	ITU	male
HG03772	IT004	ITU	female
HG03773	IT004	ITU	male
HG03774	IT020	ITU	female
HG03775	IT020	ITU	male
HG03777	IT022	ITU	male
HG03778	IT21	ITU	male
HG03779	IT019	ITU	male
HG03780	IT039	ITU	female
HG03781	IT018	ITU	female
HG03782	IT029	ITU	female
HG03784	IT023	ITU	female
HG03785	IT024	ITU	male
HG03786	IT023	ITU	male
HG03787	IT027	ITU	female
HG03788	IT028	ITU	male
HG03789	IT028	ITU	female
HG03790	IT025	ITU	male
HG03792	IT026	ITU	male
HG03793	BD15	BEB	female
HG03796	BD16	BEB	female
HG03800	BD17	BEB	male
HG03802	BD18	BEB	female
HG03803	BD18	BEB	male
HG03805	BD19	BEB	female
HG03808	BD20	BEB	female
HG03809	BD20	BEB	male
HG03812	HG03812	BEB	male
HG03814	BD22	BEB	female
HG03815	BD22	BEB	male
HG03817	BD23	BEB	female
HG03821	BD24	BEB	male
HG03823	BD25	BEB	female
HG03824	BD25	BEB	male
HG03826	BD26	BEB	female
HG03829	BD27	BEB	female
HG03830	BD27	BEB	male
HG03832	BD28	BEB	female
HG03833	BD28	BEB	male
HG03836	ST074	STU	female
HG03837	ST079	STU	male
HG03838	ST078	STU	female
HG03844	ST075	STU	male
HG03846	ST080	STU	male
HG03848	ST084	STU	male
HG03849	ST082	STU	female
HG03850	ST082	STU	male
HG03851	ST089	STU	male
HG03854	ST094	STU	male
HG03856	ST092	STU	male
HG03857	ST091	STU	female
HG03858	ST090	STU	female
HG03861	IT032	ITU	female
HG03862	IT035	ITU	female
HG03863	IT033	ITU	female
HG03864	IT034	ITU	male
HG03866	IT030	ITU	male
HG03867	IT038	ITU	male
HG03868	IT5	ITU	female
HG03869	IT035	ITU	male
HG03870	IT037	ITU	male
HG03871	HG03871	ITU	male
HG03872	IT036	ITU	male
HG03873	IT030	ITU	female
HG03874	IT006	ITU	female
HG03875	IT40	ITU	male
HG03882	IT039a	ITU	female
HG03884	ST039	STU	female
HG03885	ST016	STU	male
HG03886	ST016	STU	female
HG03887	ST106	STU	male
HG03888	ST050	STU	female
HG03890	ST110	STU	male
HG03894	ST111	STU	female
HG03895	ST107	STU	female
HG03896	ST111	STU	male
HG03897	ST115	STU	female
HG03898	ST114	STU	female
HG03899	ST114	STU	male
HG03900	ST115	STU	male
HG03902	HG03902	BEB	male
HG03905	BD30	BEB	male
HG03907	BD31	BEB	female
HG03908	BD31	BEB	male
HG03910	BD32	BEB	female
HG03911	BD32	BEB	male
HG03913	BD33	BEB	female
HG03914	BD33	BEB	male
HG03916	HG03916	BEB	female
HG03917	BD34	BEB	male
HG03919	BD35	BEB	female
HG03920	BD35	BEB	male
HG03922	BD36	BEB	female
HG03925	BD37	BEB	female
HG03926	BD37	BEB	male
HG03928	BD38	BEB	female
HG03931	BD39	BEB	female
HG03934	BD40	BEB	female
HG03937	BD41	BEB	female
HG03940	BD42	BEB	female
HG03941	BD42	BEB	male
HG03943	ST116	STU	male
HG03944	ST116	STU	female
HG03945	ST117	STU	female
HG03947	ST118	STU	female
HG03949	ST123	STU	female
HG03950	ST090	STU	male
HG03951	ST013	STU	female
HG03953	ST122	STU	male
HG03955	ST119	STU	female
HG03960	IT044	ITU	male
HG03963	IT042	ITU	male
HG03965	IT45	ITU	male
HG03967	IT51	ITU	male
HG03968	IT046	ITU	female
HG03969	IT046	ITU	male
HG03971	IT048	ITU	male
HG03973	IT050	ITU	female
HG03974	IT049	ITU	male
HG03976	IT050	ITU	male
HG03977	IT047	ITU	female
HG03978	IT047	ITU	male
HG03985	ST144	STU	male
HG03986	ST106	STU	female
HG03989	ST145	STU	female
HG03990	ST142	STU	male
HG03991	ST143	STU	male
HG03995	ST021	STU	female
HG03998	ST147	STU	male
HG03999	ST007	STU	male
HG04001	IT053	ITU	female
HG04002	IT053	ITU	male
HG04003	ST152	STU	male
HG04006	ST078	STU	male
HG04014	IT059	ITU	female
HG04015	IT060	ITU	male
HG04017	IT061	ITU	male
HG04018	IT007	ITU	female
HG04019	IT056	ITU	male
HG04020	IT059	ITU	male
HG04022	IT062	ITU	male
HG04023	IT058	ITU	male
HG04025	IT058	ITU	female
HG04026	IT061	ITU	female
HG04029	ST154	STU	female
HG04033	ST076	STU	male
HG04035	ST094	STU	female
HG04038	ST170	STU	female
HG04039	ST172	STU	male
HG04042	ST171	STU	female
HG04047	ST173	STU	female
HG04054	IT180	ITU	female
HG04056	IT180	ITU	male
HG04059	IT184	ITU	female
HG04060	IT183	ITU	male
HG04061	IT182	ITU	male
HG04062	IT182	ITU	female
HG04063	IT183	ITU	female
HG04070	IT45	ITU	female
HG04075	ST190	STU	female
HG04076	IT191	ITU	female
HG04080	IT194	ITU	male
HG04090	IT199	ITU	female
HG04093	IT199	ITU	male
HG04094	IT201	ITU	male
HG04096	IT202	ITU	male
HG04098	IT205	ITU	male
HG04099	ST203	STU	female
HG04100	ST203	STU	male
HG04106	ST176	STU	female
HG04107	ST176	STU	male
HG04118	IT214	ITU	female
HG04131	BD44	BEB	male
HG04134	BD45	BEB	male
HG04140	BD47	BEB	male
HG04141	BD47	BEB	female
HG04144	BD48	BEB	female
HG04146	BD49	BEB	male
HG04152	BD51	BEB	male
HG04153	BD51	BEB	female
HG04155	BD52	BEB	male
HG04156	BD52	BEB	female
HG04158	BD53	BEB	male
HG04159	BD53	BEB	female
HG04161	BD54	BEB	male
HG04162	BD54	BEB	female
HG04164	BD55	BEB	male
HG04171	BD57	BEB	female
HG04173	BD58	BEB	male
HG04176	BD59	BEB	male
HG04177	BD59	BEB	female
HG04180	BD60	BEB	female
HG04182	BD61	BEB	male
HG04183	BD61	BEB	female
HG04185	BD62	BEB	male
HG04186	BD62	BEB	female
HG04188	BD63	BEB	male
HG04189	BD63	BEB	female
HG04194	BD65	BEB	male
HG04195	BD65	BEB	female
HG04198	IT220	ITU	male
HG04200	IT220	ITU	female
HG04202	IT222	ITU	female
HG04206	HG04206	ITU	male
HG04209	IT217	ITU	female
HG04210	ST186	STU	male
HG04211	IT223	ITU	male
HG04212	IT223	ITU	female
HG04214	IT226	ITU	female
HG04216	IT227	ITU	female
HG04219	IT228	ITU	male
HG04222	IT225	ITU	male
HG04225	IT231	ITU	male
HG04227	ST232	STU	female
HG04229	ST232	STU	male
HG04235	IT237	ITU	male
HG04238	IT240	ITU	male
HG04239	HG04239	ITU	male
NA06984	1328	CEU	male
NA06985	1341	CEU	female
NA06986	13291	CEU	male
NA06989	1328	CEU	female
NA06994	1340	CEU	male
NA07000	1340	CEU	female
NA07037	13291	CEU	female
NA07048	1341	CEU	male
NA07051	13292	CEU	male
NA07056	1340	CEU	female
NA07347	1345	CEU	male
NA07357	1345	CEU	male
NA10847	1334	CEU	female
NA10851	1344	CEU	male
NA11829	1350	CEU	male
NA11830	1350	CEU	female
NA11831	1350	CEU	male
NA11832	1350	CEU	female
NA11840	1349	CEU	female
NA11843	1349	CEU	male
NA11881	1347	CEU	male
NA11892	1377	CEU	female
NA11893	1377	CEU	male
NA11894	1377	CEU	female
NA11918	1423	CEU	female
NA11919	1423	CEU	male
NA11920	1423	CEU	female
NA11930	1424	CEU	male
NA11931	1424	CEU	female
NA11932	1424a	CEU	male
NA11933	1424a	CEU	female
