SampleID	FamilyID	Population	Gender
NA11992	1362	CEU	male
NA11994	1362	CEU	male
NA11995	1362	CEU	female
NA12003	1420	CEU	male
NA12004	1420	CEU	female
NA12005	1420	CEU	male
NA12006	1420	CEU	female
NA12043	1346	CEU	male
NA12044	1346	CEU	female
NA12045	1346	CEU	male
NA12046	1346	CEU	female
NA12058	1344	CEU	female
NA12144	1334	CEU	male
NA12154	1408	CEU	male
NA12155	1408	CEU	male
NA12156	1408	CEU	female
NA12234	1375	CEU	female
NA12249	1416	CEU	female
NA12272	1418	CEU	male
NA12273	1418	CEU	female
NA12275	1418	CEU	female
NA12282	1421a	CEU	male
NA12283	1421a	CEU	female
NA12286	1421	CEU	male
NA12287	1421	CEU	female
NA12340	1330	CEU	male
NA12341	1330	CEU	female
NA12342	1330	CEU	male
NA12347	13281	CEU	male
NA12348	13281	CEU	female
NA12383	1353	CEU	female
NA12399	1354	CEU	male
NA12400	1354	CEU	female
NA12413	1355	CEU	male
NA12414	1355	CEU	female
NA12489	1353	CEU	female
NA12546	1353	CEU	male
NA12716	1358	CEU	male
NA12717	1358	CEU	female
NA12718	1358	CEU	female
NA12748	1444	CEU	male
NA12749	1444	CEU	female
NA12750	1444	CEU	male
NA12751	1444	CEU	female
NA12760	1447	CEU	male
NA12761	1447	CEU	female
NA12762	1447	CEU	male
NA12763	1447	CEU	female
NA12775	1451	CEU	male
NA12776	1451	CEU	female
NA12777	1451	CEU	male
NA12778	1451	CEU	female
NA12812	1454	CEU	male
NA12813	1454	CEU	female
NA12814	1454	CEU	male
NA12815	1454	CEU	female
NA12827	1456	CEU	male
NA12828	1456	CEU	female
NA12829	1456	CEU	male
NA12830	1456	CEU	female
NA12842	1458	CEU	male
NA12843	1458	CEU	female
NA12872	1459	CEU	male
NA12873	1459	CEU	female
NA12874	1459	CEU	male
NA12878	1463	CEU	female
NA12889	1463	CEU	male
NA12890	1463	CEU	female
NA18486	Y001	YRI	male
NA18488	Y001	YRI	female
NA18489	Y002	YRI	female
NA18498	Y003	YRI	male
NA18499	Y003	YRI	female
NA18501	Y004	YRI	male
NA18502	Y004	YRI	female
NA18504	Y005	YRI	male
NA18505	Y005	YRI	female
NA18507	Y009	YRI	male
NA18508	Y009	YRI	female
NA18510	Y010a	YRI	male
NA18511	Y010	YRI	female
NA18516	Y013	YRI	male
NA18517	Y013	YRI	female
NA18519	Y014	YRI	male
NA18520	Y014	YRI	female
NA18522	Y016	YRI	male
NA18523	Y016	YRI	female
NA18525	NA18525	CHB	female
NA18526	NA18526	CHB	female
NA18528	NA18528	CHB	female
NA18530	NA18530	CHB	male
NA18531	NA18531	CHB	female
NA18532	NA18532	CHB	female
NA18533	NA18533	CHB	female
NA18534	NA18534	CHB	male
NA18535	NA18535	CHB	female
NA18536	NA18536	CHB	male
NA18537	NA18537	CHB	female
NA18538	NA18538	CHB	female
NA18539	NA18539	CHB	female
NA18541	NA18541	CHB	female
NA18542	NA18542	CHB	female
NA18543	NA18543	CHB	male
NA18544	NA18544	CHB	male
NA18545	NA18545	CHB	female
NA18546	NA18546	CHB	male
NA18547	NA18547	CHB	female
NA18548	NA18548	CHB	male
NA18549	NA18549	CHB	male
NA18550	NA18550	CHB	female
NA18552	NA18552	CHB	female
NA18553	NA18553	CHB	female
NA18555	NA18555	CHB	female
NA18557	NA18557	CHB	male
NA18558	NA18558	CHB	male
NA18559	NA18559	CHB	male
NA18560	NA18560	CHB	female
NA18561	NA18561	CHB	male
NA18562	NA18562	CHB	male
NA18563	NA18563	CHB	male
NA18564	NA18564	CHB	female
NA18565	NA18565	CHB	female
NA18566	NA18566	CHB	female
NA18567	NA18567	CHB	female
NA18570	NA18570	CHB	female
NA18571	NA18571	CHB	female
NA18572	NA18572	CHB	male
NA18573	NA18573	CHB	female
NA18574	NA18574	CHB	female
NA18577	NA18577	CHB	female
NA18579	NA18579	CHB	female
NA18582	NA18582	CHB	female
NA18591	NA18591	CHB	female
NA18592	NA18592	CHB	female
NA18593	NA18593	CHB	female
NA18595	NA18595	CHB	female
NA18596	NA18596	CHB	female
NA18597	NA18597	CHB	female
NA18599	NA18599	CHB	female
NA18602	NA18602	CHB	female
NA18603	NA18603	CHB	male
NA18605	NA18605	CHB	male
NA18606	NA18606	CHB	male
NA18608	NA18608	CHB	male
NA18609	NA18609	CHB	male
NA18610	NA18610	CHB	female
NA18611	NA18611	CHB	male
NA18612	NA18612	CHB	male
NA18613	NA18613	CHB	male
NA18614	NA18614	CHB	female
NA18615	NA18615	CHB	female
NA18616	NA18616	CHB	female
NA18617	NA18617	CHB	female
NA18618	NA18618	CHB	female
NA18619	NA18619	CHB	female
NA18620	NA18620	CHB	male
NA18621	NA18621	CHB	male
NA18622	NA18622	CHB	male
NA18623	NA18623	CHB	male
NA18624	NA18624	CHB	male
NA18625	NA18625	CHB	female
NA18626	NA18626	CHB	female
NA18627	NA18627	CHB	female
NA18628	NA18628	CHB	female
NA18629	NA18629	CHB	male
NA18630	NA18630	CHB	female
NA18631	NA18631	CHB	female
NA18632	NA18632	CHB	male
NA18633	NA18633	CHB	male
NA18634	NA18634	CHB	female
NA18635	NA18635	CHB	male
NA18636	NA18636	CHB	male
NA18637	NA18637	CHB	male
NA18638	NA18638	CHB	male
NA18639	NA18639	CHB	male
NA18640	NA18640	CHB	female
NA18641	NA18641	CHB	female
NA18642	NA18642	CHB	female
NA18643	NA18643	CHB	male
NA18644	NA18644	CHB	female
NA18645	NA18645	CHB	male
NA18646	NA18646	CHB	female
NA18647	NA18647	CHB	male
NA18648	NA18648	CHB	male
NA18740	NA18740	CHB	male
NA18745	NA18745	CHB	male
NA18747	NA18747	CHB	male
NA18748	NA18748	CHB	male
NA18749	NA18749	CHB	male
NA18757	NA18757	CHB	male
NA18853	Y018	YRI	male
NA18856	Y023	YRI	male
NA18858	Y012	YRI	female
NA18861	Y024	YRI	female
NA18864	Y026	YRI	female
NA18865	Y026	YRI	male
NA18867	Y007	YRI	female
NA18868	Y007	YRI	male
NA18870	Y017	YRI	female
NA18871	Y017	YRI	male
NA18873	Y019	YRI	female
NA18874	Y019	YRI	male
NA18876	Y020	YRI	female
NA18877	Y020	YRI	male
NA18878	Y021	YRI	female
NA18879	Y021	YRI	male
NA18881	Y022	YRI	female
NA18907	Y025	YRI	female
NA18908	Y025a	YRI	male
NA18909	Y027	YRI	female
NA18910	Y027	YRI	male
NA18912	Y028	YRI	female
NA18915	Y029	YRI	male
NA18916	Y030	YRI	female
NA18917	Y030	YRI	male
NA18923	Y033	YRI	male
NA18924	Y033	YRI	female
NA18933	Y036	YRI	female
NA18934	Y036	YRI	male
NA18939	NA18939	JPT	female
NA18940	NA18940	JPT	male
NA18941	NA18941	JPT	female
NA18942	NA18942	JPT	female
NA18943	NA18943	JPT	male
NA18944	NA18944	JPT	male
NA18945	NA18945	JPT	male
NA18946	NA18946	JPT	female
NA18947	NA18947	JPT	female
NA18948	NA18948	JPT	male
NA18949	NA18949	JPT	female
NA18950	NA18950	JPT	female
NA18951	NA18951	JPT	female
NA18952	NA18952	JPT	male
NA18953	NA18953	JPT	male
NA18954	NA18954	JPT	female
NA18956	NA18956	JPT	female
NA18957	NA18957	JPT	female
NA18959	NA18959	JPT	male
NA18960	NA18960	JPT	male
NA18961	NA18961	JPT	male
NA18962	NA18962	JPT	male
NA18963	NA18963	JPT	female
NA18964	NA18964	JPT	female
NA18965	NA18965	JPT	male
NA18966	NA18966	JPT	male
NA18967	NA18967	JPT	male
NA18968	NA18968	JPT	female
NA18969	NA18969	JPT	female
NA18970	NA18970	JPT	male
NA18971	NA18971	JPT	male
NA18972	NA18972	JPT	female
NA18973	NA18973	JPT	female
NA18974	NA18974	JPT	male
NA18975	NA18975	JPT	female
NA18976	NA18976	JPT	female
NA18977	NA18977	JPT	male
NA18978	NA18978	JPT	female
NA18979	NA18979	JPT	female
NA18980	NA18980	JPT	female
NA18981	NA18981	JPT	female
NA18982	NA18982	JPT	male
NA18983	NA18983	JPT	male
NA18984	NA18984	JPT	male
NA18985	NA18985	JPT	male
NA18986	NA18986	JPT	male
NA18987	NA18987	JPT	female
NA18988	NA18988	JPT	male
NA18989	NA18989	JPT	male
NA18990	NA18990	JPT	male
NA18991	NA18991	JPT	female
NA18992	NA18992	JPT	female
NA18993	NA18993	JPT	female
NA18994	NA18994	JPT	male
NA18995	NA18995	JPT	male
NA18997	NA18997	JPT	female
NA18998	NA18998	JPT	female
NA18999	NA18999	JPT	female
NA19000	NA19000	JPT	male
NA19001	NA19001	JPT	female
NA19002	NA19002	JPT	female
NA19003	NA19003	JPT	female
NA19004	NA19004	JPT	male
NA19005	NA19005	JPT	male
NA19006	NA19006	JPT	male
NA19007	NA19007	JPT	male
NA19009	NA19009	JPT	male
NA19010	NA19010	JPT	female
NA19011	NA19011	JPT	female
NA19012	NA19012	JPT	male
NA19017	NA19017	LWK	female
NA19019	NA19019	LWK	female
NA19020	NA19020	LWK	male
NA19023	NA19023	LWK	female
NA19024	NA19024	LWK	female
NA19025	NA19025	LWK	male
NA19026	NA19026	LWK	male
NA19027	NA19027	LWK	male
NA19028	NA19028	LWK	male
NA19030	NA19030	LWK	female
NA19031	NA19031	LWK	male
NA19035	NA19035	LWK	male
NA19036	NA19036	LWK	female
NA19037	NA19037	LWK	female
NA19038	NA19038	LWK	female
NA19041	NA19041	LWK	male
NA19042	NA19042	LWK	female
NA19043	NA19043	LWK	male
NA19054	NA19054	JPT	female
NA19055	NA19055	JPT	male
NA19056	NA19056	JPT	male
NA19057	NA19057	JPT	female
NA19058	NA19058	JPT	male
NA19059	NA19059	JPT	female
NA19060	NA19060	JPT	male
NA19062	NA19062	JPT	male
NA19063	NA19063	JPT	male
NA19064	NA19064	JPT	female
NA19065	NA19065	JPT	female
NA19066	NA19066	JPT	male
NA19067	NA19067	JPT	male
NA19068	NA19068	JPT	male
NA19070	NA19070	JPT	male
NA19072	NA19072	JPT	male
NA19074	NA19074	JPT	female
NA19075	NA19075	JPT	male
NA19076	NA19076	JPT	male
NA19077	NA19077	JPT	female
NA19078	NA19078	JPT	female
NA19079	NA19079	JPT	male
NA19080	NA19080	JPT	female
NA19081	NA19081	JPT	female
NA19082	NA19082	JPT	male
NA19083	NA19083	JPT	male
NA19084	NA19084	JPT	female
NA19085	NA19085	JPT	male
NA19086	NA19086	JPT	male
NA19087	NA19087	JPT	female
NA19088	NA19088	JPT	male
NA19089	NA19089	JPT	male
NA19090	NA19090	JPT	female
NA19091	NA19091	JPT	male
NA19092	Y040	YRI	male
NA19093	Y040	YRI	female
NA19095	Y041	YRI	female
NA19096	Y041	YRI	male
NA19098	Y105	YRI	male
NA19099	Y105	YRI	female
NA19102	Y042	YRI	female
NA19107	Y006	YRI	male
NA19108	Y006	YRI	female
NA19113	Y079	YRI	male
NA19114	Y079	YRI	female
NA19116	Y060	YRI	female
NA19117	Y100	YRI	male
NA19118	Y100	YRI	female
NA19119	Y060	YRI	male
NA19121	Y061	YRI	male
NA19129	Y077	YRI	female
NA19130	Y101	YRI	male
NA19131	Y101	YRI	female
NA19137	Y043	YRI	female
NA19138	Y043	YRI	male
NA19141	Y071	YRI	male
NA19143	Y074	YRI	female
NA19144	Y074	YRI	male
NA19146	Y075	YRI	male
NA19147	Y075	YRI	female
NA19149	Y073	YRI	female
NA19152	Y072	YRI	female
NA19153	Y072	YRI	male
NA19159	Y056	YRI	female
NA19160	Y056	YRI	male
NA19171	Y047	YRI	male
NA19172	Y047	YRI	female
NA19175	Y044	YRI	male
NA19184	Y039	YRI	male
NA19185	Y039	YRI	female
NA19189	Y111	YRI	male
NA19190	Y111	YRI	female
NA19197	Y035	YRI	female
NA19198	Y035	YRI	male
NA19200	Y045	YRI	male
NA19201	Y045	YRI	female
NA19204	Y048	YRI	female
NA19206	Y051	YRI	female
NA19207	Y051	YRI	male
NA19209	Y050	YRI	female
NA19210	Y050	YRI	male
NA19213	Y110	YRI	male
NA19214	Y110	YRI	female
NA19222	Y058	YRI	female
NA19223	Y058	YRI	male
NA19225	Y057	YRI	female
NA19235	Y116	YRI	female
NA19236	Y116	YRI	male
NA19238	Y117	YRI	female
NA19239	Y117	YRI	male
NA19247	Y120	YRI	female
NA19248	Y120	YRI	male
NA19256	Y092	YRI	male
NA19257	Y092	YRI	female
NA19307	NA19307	LWK	male
NA19308	NA19308	LWK	male
NA19309	NA19309	LWK	male
NA19310	NA19310	LWK	female
NA19312	NA19312	LWK	male
NA19314	NA19314	LWK	female
NA19315	NA19315	LWK	female
NA19316	NA19316	LWK	female
NA19317	NA19317	LWK	male
NA19318	NA19318	LWK	male
NA19319	NA19319	LWK	male
NA19320	NA19320	LWK	female
NA19321	NA19321	LWK	female
NA19323	NA19323	LWK	female
NA19324	NA19324	LWK	female
NA19327	NA19327	LWK	female
NA19328	NA19328	LWK	female
NA19331	LWK001	LWK	male
NA19332	NA19332	LWK	female
NA19334	NA19334	LWK	male
NA19338	NA19338	LWK	female
NA19346	NA19346	LWK	male
NA19347	NA19347	LWK	male
NA19350	NA19350	LWK	male
NA19351	NA19351	LWK	female
NA19355	NA19355	LWK	female
NA19360	NA19360	LWK	male
NA19372	NA19372	LWK	male
NA19374	NA19374	LWK	male
NA19375	NA19375	LWK	male
NA19376	NA19376	LWK	male
NA19377	NA19377	LWK	female
NA19378	NA19378	LWK	female
NA19379	NA19379	LWK	female
NA19380	NA19380	LWK	male
NA19383	NA19383	LWK	male
NA19384	NA19384	LWK	male
NA19385	NA19385	LWK	male
NA19390	NA19390	LWK	female
NA19391	NA19391	LWK	female
NA19393	NA19393	LWK	male
NA19394	NA19394	LWK	male
NA19395	NA19395	LWK	female
NA19397	NA19397	LWK	male
NA19399	NA19399	LWK	female
NA19401	NA19401	LWK	female
NA19403	NA19403	LWK	female
NA19404	NA19404	LWK	female
NA19428	NA19428	LWK	male
NA19429	NA19429	LWK	male
NA19430	NA19430	LWK	male
NA19431	NA19431	LWK	female
NA19434	LWK003	LWK	female
NA19435	NA19435	LWK	female
NA19436	NA19436	LWK	female
NA19437	NA19437	LWK	female
NA19438	NA19438	LWK	female
NA19439	NA19439	LWK	female
NA19440	NA19440	LWK	female
NA19443	NA19443	LWK	male
NA19445	LWK004	LWK	female
NA19446	NA19446	LWK	female
NA19448	NA19448	LWK	male
NA19449	NA19449	LWK	female
NA19451	NA19451	LWK	male
NA19452	NA19452	LWK	male
NA19454	NA19454	LWK	male
NA19455	NA19455	LWK	male
NA19456	NA19456	LWK	female
NA19457	NA19457	LWK	female
NA19461	NA19461	LWK	male
NA19462	NA19462	LWK	female
NA19463	NA19463	LWK	female
NA19466	NA19466	LWK	male
NA19467	NA19467	LWK	female
NA19468	NA19468	LWK	female
NA19471	NA19471	LWK	female
NA19472	NA19472	LWK	female
NA19473	NA19473	LWK	female
NA19474	NA19474	LWK	female
NA19475	NA19475	LWK	female
NA19625	2357	ASW	female
NA19648	m001	MXL	female
NA19649	m001	MXL	male
NA19651	m005	MXL	female
NA19652	m005	MXL	male
NA19654	m006	MXL	female
NA19655	m006	MXL	male
NA19657	m007	MXL	female
NA19658	m007	MXL	male
NA19661	m008	MXL	male
NA19663	m012	MXL	female
NA19664	m012	MXL	male
NA19669	m002	MXL	female
NA19670	m002	MXL	male
NA19676	m004	MXL	male
NA19678	m009	MXL	female
NA19679	m009	MXL	male
NA19681	m010	MXL	female
NA19682	m010	MXL	male
NA19684	m011	MXL	female
NA19700	2367	ASW	male
NA19701	2367	ASW	female
NA19703	2368	ASW	male
NA19704	2368	ASW	female
NA19707	2369	ASW	female
NA19711	2371	ASW	male
NA19712	2371	ASW	female
NA19713	2436	ASW	female
NA19716	m014	MXL	female
NA19717	m014	MXL	male
NA19719	m015	MXL	female
NA19720	m015	MXL	male
NA19722	m016	MXL	female
NA19723	m016	MXL	male
NA19725	m017	MXL	female
NA19726	m017	MXL	male
NA19728	m018	MXL	female
NA19729	m018	MXL	male
NA19731	m019	MXL	female
NA19732	m019	MXL	male
NA19734	2393	MXL	female
NA19735	2393	MXL	male
NA19740	2395	MXL	female
NA19741	2395	MXL	male
NA19746	m023	MXL	female
NA19747	m023	MXL	male
NA19749	m024	MXL	female
NA19750	m024	MXL	male
NA19752	2401	MXL	female
NA19755	m026	MXL	female
NA19756	m026	MXL	male
NA19758	m027	MXL	female
NA19759	m027	MXL	male
NA19761	m028	MXL	female
NA19762	m028	MXL	male
NA19764	2405	MXL	female
NA19770	m031	MXL	female
NA19771	m031	MXL	male
NA19773	m033	MXL	female
NA19774	m033	MXL	male
NA19776	m034	MXL	female
NA19777	m034	MXL	male
NA19779	m035	MXL	female
NA19780	m035	MXL	male
NA19782	m036	MXL	female
NA19783	m036	MXL	male
NA19785	m032	MXL	female
NA19786	m032	MXL	male
NA19788	m037	MXL	female
NA19789	m037	MXL	male
NA19792	2414	MXL	male
NA19794	m039	MXL	female
NA19795	m039	MXL	male
NA19818	2418	ASW	male
NA19819	2418	ASW	female
NA19834	2424	ASW	male
NA19835	2424	ASW	female
NA19900	2425	ASW	male
NA19901	2425	ASW	female
NA19904	2426	ASW	male
NA19908	2427	ASW	male
NA19909	2427	ASW	female
NA19913	2426a	ASW	female
NA19914	2430	ASW	female
NA19916	2431	ASW	male
NA19917	2431	ASW	female
NA19920	2433	ASW	male
NA19921	2433	ASW	female
NA19922	2434	ASW	male
NA19923	2434	ASW	female
NA19982	2436	ASW	male
NA19984	2437a	ASW	male
NA20126	2446	ASW	male
NA20127	2446	ASW	female
NA20274	2357a	ASW	female
NA20276	2466	ASW	female
NA20278	2467	ASW	male
NA20281	2469a	ASW	male
NA20282	2469	ASW	female
NA20287	2470	ASW	female
NA20289	2471	ASW	female
NA20291	2472	ASW	male
NA20294	2474	ASW	female
NA20296	2475	ASW	female
NA20298	2476a	ASW	male
NA20299	2476	ASW	female
NA20314	2479	ASW	female
NA20317	2480	ASW	female
NA20318	2480a	ASW	male
NA20320	2481a	ASW	female
NA20321	2481	ASW	female
NA20332	2483	ASW	female
NA20334	2484	ASW	female
NA20339	2486	ASW	female
NA20340	2487	ASW	male
NA20342	2488	ASW	male
NA20346	2490	ASW	male
NA20348	2491	ASW	male
NA20351	2493	ASW	male
NA20355	2484a	ASW	female
NA20356	2494	ASW	male
NA20357	2494	ASW	female
NA20359	2495	ASW	female
NA20362	2495a	ASW	male
NA20412	2505	ASW	female
NA20502	NA20502	TSI	female
NA20503	NA20503	TSI	female
NA20504	NA20504	TSI	female
NA20505	NA20505	TSI	female
NA20506	NA20506	TSI	female
NA20507	NA20507	TSI	female
NA20508	NA20508	TSI	female
NA20509	NA20509	TSI	male
NA20510	NA20510	TSI	male
NA20511	NA20511	TSI	male
NA20512	NA20512	TSI	male
NA20513	NA20513	TSI	male
NA20514	NA20514	TSI	female
NA20515	NA20515	TSI	male
NA20516	NA20516	TSI	male
NA20517	NA20517	TSI	female
NA20518	NA20518	TSI	male
NA20519	NA20519	TSI	male
NA20520	NA20520	TSI	male
NA20521	NA20521	TSI	male
NA20522	NA20522	TSI	female
NA20524	NA20524	TSI	male
NA20525	NA20525	TSI	male
NA20527	NA20527	TSI	male
NA20528	NA20528	TSI	male
NA20529	NA20529	TSI	female
NA20530	NA20530	TSI	female
NA20531	NA20531	TSI	female
NA20532	NA20532	TSI	male
NA20533	NA20533	TSI	female
NA20534	NA20534	TSI	male
NA20535	NA20535	TSI	female
NA20536	NA20536	TSI	male
NA20538	NA20538	TSI	male
NA20539	NA20539	TSI	male
NA20540	NA20540	TSI	female
NA20541	NA20541	TSI	female
NA20542	NA20542	TSI	female
NA20543	NA20543	TSI	male
NA20544	NA20544	TSI	male
NA20581	NA20581	TSI	male
NA20582	NA20582	TSI	female
NA20585	NA20585	TSI	female
NA20586	NA20586	TSI	male
NA20587	NA20587	TSI	female
NA20588	NA20588	TSI	male
NA20589	NA20589	TSI	female
NA20752	NA20752	TSI	male
NA20753	NA20753	TSI	female
NA20754	NA20754	TSI	male
NA20755	NA20755	TSI	male
NA20756	NA20756	TSI	female
NA20757	NA20757	TSI	female
NA20758	NA20758	TSI	male
NA20759	NA20759	TSI	male
NA20760	NA20760	TSI	female
NA20761	NA20761	TSI	female
NA20762	NA20762	TSI	male
NA20763	NA20763	TSI	male
NA20764	NA20764	TSI	female
NA20765	NA20765	TSI	male
NA20766	NA20766	TSI	female
NA20767	NA20767	TSI	male
NA20768	NA20768	TSI	female
NA20769	NA20769	TSI	female
NA20770	NA20770	TSI	male
NA20771	NA20771	TSI	female
NA20772	NA20772	TSI	female
NA20773	NA20773	TSI	female
NA20774	NA20774	TSI	female
NA20775	NA20775	TSI	female
NA20778	NA20778	TSI	male
NA20783	NA20783	TSI	male
NA20785	NA20785	TSI	male
NA20786	NA20786	TSI	female
NA20787	NA20787	TSI	male
NA20790	NA20790	TSI	female
NA20792	NA20792	TSI	male
NA20795	NA20795	TSI	female
NA20796	NA20796	TSI	male
NA20797	NA20797	TSI	female
NA20798	NA20798	TSI	male
NA20799	NA20799	TSI	female
NA20800	NA20800	TSI	female
NA20801	NA20801	TSI	male
NA20802	NA20802	TSI	female
NA20803	NA20803	TSI	male
NA20804	NA20804	TSI	female
NA20805	NA20805	TSI	male
NA20806	NA20806	TSI	male
NA20807	NA20807	TSI	female
NA20808	NA20808	TSI	female
NA20809	NA20809	TSI	male
NA20810	NA20810	TSI	male
NA20811	NA20811	TSI	male
NA20812	NA20812	TSI	male
NA20813	NA20813	TSI	female
NA20814	NA20814	TSI	male
NA20815	NA20815	TSI	male
NA20818	NA20818	TSI	female
NA20819	NA20819	TSI	female
NA20821	NA20821	TSI	female
NA20822	NA20822	TSI	female
NA20826	NA20826	TSI	female
NA20827	NA20827	TSI	male
NA20828	NA20828	TSI	female
NA20832	NA20832	TSI	female
NA20845	NA20845	GIH	male
NA20846	NA20846	GIH	male
NA20847	NA20847	GIH	female
NA20849	NA20849	GIH	female
NA20850	NA20850	GIH	male
NA20851	NA20851	GIH	female
NA20852	NA20852	GIH	male
NA20853	NA20853	GIH	female
NA20854	NA20854	GIH	female
NA20856	NA20856	GIH	female
NA20858	NA20858	GIH	male
NA20859	NA20859	GIH	female
NA20861	NA20861	GIH	male
NA20862	NA20862	GIH	female
NA20863	NA20863	GIH	male
NA20864	NA20864	GIH	male
NA20866	NA20866	GIH	male
NA20867	NA20867	GIH	male
NA20868	GIH001	GIH	female
NA20869	NA20869	GIH	female
NA20870	NA20870	GIH	male
NA20872	NA20872	GIH	female
NA20874	NA20874	GIH	female
NA20875	NA20875	GIH	female
NA20876	NA20876	GIH	female
NA20877	NA20877	GIH	female
NA20878	NA20878	GIH	female
NA20881	NA20881	GIH	female
NA20882	NA20882	GIH	female
NA20884	NA20884	GIH	male
NA20885	NA20885	GIH	male
NA20886	GIH002	GIH	female
NA20887	NA20887	GIH	male
NA20888	NA20888	GIH	female
NA20889	NA20889	GIH	male
NA20890	NA20890	GIH	male
NA20891	NA20891	GIH	male
NA20892	NA20892	GIH	female
NA20894	NA20894	GIH	female
NA20895	NA20895	GIH	male
NA20896	NA20896	GIH	female
NA20897	NA20897	GIH	male
NA20899	NA20899	GIH	female
NA20900	NA20900	GIH	female
NA20901	NA20901	GIH	male
NA20902	NA20902	GIH	female
NA20903	NA20903	GIH	male
NA20904	NA20904	GIH	male
NA20905	NA20905	GIH	male
NA20906	NA20906	GIH	female
NA20908	NA20908	GIH	female
NA20910	GIH003	GIH	female
NA20911	NA20911	GIH	male
NA21086	NA21086	GIH	female
NA21087	NA21087	GIH	male
NA21088	NA21088	GIH	female
NA21089	NA21089	GIH	female
NA21090	NA21090	GIH	male
NA21091	NA21091	GIH	male
NA21092	NA21092	GIH	male
NA21093	NA21093	GIH	male
NA21094	NA21094	GIH	male
NA21095	NA21095	GIH	male
NA21097	NA21097	GIH	female
NA21098	NA21098	GIH	male
NA21099	NA21099	GIH	male
NA21100	NA21100	GIH	male
NA21101	NA21101	GIH	female
NA21102	NA21102	GIH	female
NA21103	NA21103	GIH	female
NA21104	NA21104	GIH	male
NA21105	NA21105	GIH	male
NA21106	NA21106	GIH	female
NA21107	NA21107	GIH	male
NA21108	NA21108	GIH	female
NA21109	NA21109	GIH	male
NA21110	NA21110	GIH	female
NA21111	NA21111	GIH	male
NA21112	NA21112	GIH	male
NA21113	NA21113	GIH	male
NA21114	NA21114	GIH	male
NA21115	NA21115	GIH	male
NA21116	NA21116	GIH	male
NA21117	NA21117	GIH	male
NA21118	NA21118	GIH	male
NA21119	NA21119	GIH	male
NA21120	NA21120	GIH	female
NA21122	NA21122	GIH	female
NA21123	NA21123	GIH	male
NA21124	NA21124	GIH	male
NA21125	NA21125	GIH	female
NA21126	NA21126	GIH	male
NA21127	NA21127	GIH	male
NA21128	NA21128	GIH	male
NA21129	NA21129	GIH	male
NA21130	NA21130	GIH	male
NA21133	NA21133	GIH	male
NA21135	NA21135	GIH	male
NA21137	NA21137	GIH	female
NA21141	NA21141	GIH	female
NA21142	NA21142	GIH	female
NA21143	NA21143	GIH	female
NA21144	NA21144	GIH	female
